country,continent,flag,map,alias/0,alias/1,alias/2
Afghanistan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Afghanistan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Afghanistan.png,,,
Albania,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Albania.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Albania.png,,,
Algeria,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Algeria.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Algeria.png,,,
Andorra,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Andorra.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Andorra.png,,,
Angola,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Angola.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Angola.png,,,
Antigua and Barbuda,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Antigua%20and%20Barbuda.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Antigua%20and%20Barbuda.png,,,
Argentina,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Argentina.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Argentina.png,,,
Armenia,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Armenia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Armenia.png,,,
Australia,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Australia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Australia.png,,,
Austria,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Austria.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Austria.png,,,
Azerbaijan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Azerbaijan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Azerbaijan.png,,,
Bahamas,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bahamas.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bahamas.png,,,
Bahrain,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bahrain.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bahrain.png,,,
Bangladesh,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bangladesh.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bangladesh.png,,,
Barbados,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Barbados.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Barbados.png,,,
Belarus,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Belarus.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Belarus.png,,,
Belgium,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Belgium.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Belgium.png,,,
Belize,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Belize.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Belize.png,,,
Benin,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Benin.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Benin.png,,,
Bhutan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bhutan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bhutan.png,,,
Bolivia,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bolivia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bolivia.png,,,
Bosnia and Herzegovina,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Bosnia%20and%20Herzegovina.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Bosnia%20and%20Herzegovina.png,Bosnia,,
